order_id,sku,quantity,unit_price,currency,placed_at
ORD-104251,CAM-1080,4,111.08,GBP,2026-07-27 02:25:17
ORD-104252,HDST-ANC,8,221.66,USD,2026-07-27 02:29:00
ORD-104253,SSD-2TB,2,171.44,AUD,2026-07-27 02:30:02
ORD-104254,SSD-2TB,2,124.51,USD,2026-07-27 02:32:22
ORD-104255,KEYB-FULL,2,155.29,PLN,2026-07-27 02:35:52
ORD-104256,PAD-XL,5,401.87,USD,2026-07-27 02:38:04
ORD-104257,CAM-4K,1,6.94,JPY,2026-07-27 02:38:59
ORD-104258,TRAY-CBL,4,59.59,JPY,2026-07-27 02:41:37
ORD-104259,LAMP-LED,6,12.22,USD,2026-07-27 02:44:03
ORD-104260,PAD-XL,4,380.01,CZK,2026-07-27 02:45:52
ORD-104261,ADPT-ETH,1,191.92,NOK,2026-07-27 02:50:13
ORD-104262,CHRG-65W,8,20.76,CAD,2026-07-27 02:53:16
ORD-104263,CHRG-100W,8,171.36,CZK,2026-07-27 02:54:41
ORD-104264,CHRG-65W,1,412.72,USD,2026-07-27 02:57:44
ORD-104265,STAND-ALU,1,244.02,CAD,2026-07-27 02:59:14
ORD-104266,LAMP-LED,4,142.03,SEK,2026-07-27 03:03:27
ORD-104267,CAM-1080,7,109.12,AUD,2026-07-27 03:07:56
ORD-104268,MON-ARM-S,5,32.20,JPY,2026-07-27 03:11:43
ORD-104269,CHRG-65W,6,56.75,CZK,2026-07-27 03:14:26
ORD-104270,STAND-ALU,5,80.58,CAD,2026-07-27 03:18:26
ORD-104271,MIC-USB,3,333.35,USD,2026-07-27 03:20:52
ORD-104272,SSD-1TB,3,41.27,CHF,2026-07-27 03:24:22
ORD-104273,MON-ARM-S,6,375.10,USD,2026-07-27 03:28:17
ORD-104274,ENCL-NVME,6,321.20,GBP,2026-07-27 03:29:20
ORD-104275,MON-ARM-D,6,391.59,GBP,2026-07-27 03:31:17
ORD-104276,MON-ARM-D,1,88.24,CZK,2026-07-27 03:32:16
ORD-104277,KEYB-TKL,6,24.70,CHF,2026-07-27 03:33:30
ORD-104278,SSD-1TB,4,50.39,GBP,2026-07-27 03:37:45
ORD-104279,ADPT-HDMI,2,24.04,JPY,2026-07-27 03:41:14
ORD-104280,DOCK-PRO,5,397.90,JPY,2026-07-27 03:42:11
ORD-104281,CAM-4K,4,205.99,PLN,2026-07-27 03:46:31
ORD-104282,MON-ARM-S,1,318.77,AUD,2026-07-27 03:49:08
ORD-104283,STAND-ALU,1,379.99,CAD,2026-07-27 03:52:01
ORD-104284,CABLE-5M,4,145.54,USD,2026-07-27 03:55:07
ORD-104285,CHRG-100W,8,81.92,AUD,2026-07-27 03:59:35
ORD-104286,SSD-1TB,3,229.89,USD,2026-07-27 04:00:59
ORD-104287,MON-ARM-D,4,162.40,USD,2026-07-27 04:04:40
ORD-104288,ADPT-ETH,8,445.20,USD,2026-07-27 04:07:28
ORD-104289,SSD-1TB,3,269.17,CHF,2026-07-27 04:10:34
ORD-104290,SSD-2TB,8,117.97,SEK,2026-07-27 04:12:25
ORD-104291,HUB-USB4,5,178.06,AUD,2026-07-27 04:14:47
ORD-104292,CAM-4K,1,78.49,GBP,2026-07-27 04:17:55
ORD-104293,SSD-1TB,2,13.91,USD,2026-07-27 04:21:42
ORD-104294,CAM-4K,3,150.37,JPY,2026-07-27 04:24:56
ORD-104295,MON-ARM-D,3,45.64,GBP,2026-07-27 04:26:21
ORD-104296,STAND-ALU,6,306.65,USD,2026-07-27 04:27:20
ORD-104297,MOUSE-ERGO,2,17.21,CAD,2026-07-27 04:30:16
ORD-104298,DOCK-PRO,6,16.45,GBP,2026-07-27 04:33:15
ORD-104299,STAND-ALU,3,135.39,CZK,2026-07-27 04:36:23
ORD-104300,KEYB-FULL,2,343.04,CAD,2026-07-27 04:39:47
ORD-104301,TRAY-CBL,5,155.41,JPY,2026-07-27 04:42:13
ORD-104302,HUB-USB4,1,197.42,SEK,2026-07-27 04:43:08
ORD-104303,MON-ARM-D,5,4.58,USD,2026-07-27 04:46:22
ORD-104304,ADPT-ETH,4,344.75,USD,2026-07-27 04:48:00
ORD-104305,DOCK-PRO,6,404.65,USD,2026-07-27 04:49:29
ORD-104306,TRAY-CBL,1,304.96,JPY,2026-07-27 04:51:15
ORD-104307,MIC-USB,7,203.46,CAD,2026-07-27 04:52:21
ORD-104308,CABLE-5M,1,279.62,USD,2026-07-27 04:56:40
ORD-104309,HUB-USB4,2,240.21,AUD,2026-07-27 04:58:31
ORD-104310,CAM-4K,2,175.98,PLN,2026-07-27 05:00:58
ORD-104311,ADPT-HDMI,2,322.54,JPY,2026-07-27 05:03:52
ORD-104312,DOCK-PRO,5,299.72,CZK,2026-07-27 05:05:26
ORD-104313,HDST-ANC,7,143.38,AUD,2026-07-27 05:08:37
ORD-104314,DOCK-PRO,4,431.57,JPY,2026-07-27 05:13:00
ORD-104315,CABLE-5M,2,152.15,USD,2026-07-27 05:17:03
ORD-104316,ENCL-NVME,7,256.24,USD,2026-07-27 05:18:07
ORD-104317,KEYB-TKL,4,291.51,CHF,2026-07-27 05:22:04
ORD-104318,SSD-2TB,5,172.79,USD,2026-07-27 05:25:17
ORD-104319,KEYB-TKL,2,112.52,USD,2026-07-27 05:29:33
ORD-104320,MIC-USB,4,425.49,USD,2026-07-27 05:31:34
ORD-104321,HUB-USB4,2,289.66,CAD,2026-07-27 05:32:51
ORD-104322,TRAY-CBL,3,444.12,GBP,2026-07-27 05:36:19
ORD-104323,CABLE-2M,5,305.57,CHF,2026-07-27 05:37:48
ORD-104324,HDST-ANC,1,175.31,GBP,2026-07-27 05:39:32
ORD-104325,CHRG-100W,1,318.37,GBP,2026-07-27 05:43:08
ORD-104326,MON-ARM-S,4,6.12,GBP,2026-07-27 05:44:25
ORD-104327,KEYB-TKL,5,11.76,USD,2026-07-27 05:47:40
ORD-104328,CABLE-2M,5,393.91,USD,2026-07-27 05:50:27
ORD-104329,SSD-1TB,4,327.35,CHF,2026-07-27 05:53:30
ORD-104330,TRAY-CBL,3,35.61,GBP,2026-07-27 05:57:18
ORD-104331,MIC-USB,7,346.91,SEK,2026-07-27 06:00:15
ORD-104332,CHRG-100W,8,234.28,USD,2026-07-27 06:04:30
ORD-104333,CHRG-65W,2,77.87,PLN,2026-07-27 06:05:48
ORD-104334,MON-ARM-D,6,34.34,USD,2026-07-27 06:06:35
ORD-104335,STAND-ALU,7,246.81,USD,2026-07-27 06:08:07
ORD-104336,CAM-1080,4,15.62,GBP,2026-07-27 06:12:27
ORD-104337,KEYB-FULL,1,129.66,GBP,2026-07-27 06:13:46
ORD-104338,LAMP-LED,4,46.67,GBP,2026-07-27 06:18:18
ORD-104339,ADPT-HDMI,6,166.82,USD,2026-07-27 06:19:15
ORD-104340,MON-ARM-D,3,448.04,USD,2026-07-27 06:23:31
ORD-104341,SSD-2TB,3,380.95,CZK,2026-07-27 06:24:29
ORD-104342,ADPT-HDMI,6,245.24,GBP,2026-07-27 06:28:40
ORD-104343,MON-ARM-S,3,124.57,PLN,2026-07-27 06:29:43
ORD-104344,KEYB-TKL,8,31.47,USD,2026-07-27 06:34:07
ORD-104345,DOCK-PRO,2,377.24,USD,2026-07-27 06:36:55
ORD-104346,CABLE-2M,8,133.37,NOK,2026-07-27 06:39:05
ORD-104347,MON-ARM-S,1,427.98,USD,2026-07-27 06:41:35
ORD-104348,CAM-4K,6,67.76,GBP,2026-07-27 06:45:42
ORD-104349,BATT-20K,2,144.61,GBP,2026-07-27 06:48:06
ORD-104350,SSD-1TB,7,395.48,PLN,2026-07-27 06:49:29
ORD-104351,STAND-ALU,7,163.86,CHF,2026-07-27 06:50:58
ORD-104352,BATT-20K,6,433.47,USD,2026-07-27 06:53:34
ORD-104353,MOUSE-ERGO,5,78.99,USD,2026-07-27 06:57:45
ORD-104354,KEYB-FULL,8,165.31,USD,2026-07-27 07:00:18
ORD-104355,MIC-USB,2,243.81,USD,2026-07-27 07:04:29
ORD-104356,TRAY-CBL,7,73.42,AUD,2026-07-27 07:07:32
ORD-104357,SSD-1TB,7,448.19,USD,2026-07-27 07:10:52
ORD-104358,MON-ARM-S,3,367.59,NOK,2026-07-27 07:12:37
ORD-104359,MIC-USB,4,63.15,GBP,2026-07-27 07:13:58
ORD-104360,CHRG-65W,3,234.36,CAD,2026-07-27 07:18:24
ORD-104361,TRAY-CBL,4,49.40,USD,2026-07-27 07:19:18
ORD-104362,BATT-20K,3,31.77,USD,2026-07-27 07:23:24
ORD-104363,HDST-ANC,3,11.59,AUD,2026-07-27 07:24:43
ORD-104364,CABLE-5M,6,291.66,USD,2026-07-27 07:29:14
ORD-104365,MOUSE-ERGO,4,155.44,AUD,2026-07-27 07:33:09
ORD-104366,ADPT-HDMI,8,316.56,GBP,2026-07-27 07:35:20
ORD-104367,HDST-ANC,6,187.12,AUD,2026-07-27 07:36:08
ORD-104368,HUB-USB4,4,182.24,PLN,2026-07-27 07:38:20
ORD-104369,MOUSE-ERGO,4,313.70,USD,2026-07-27 07:39:41
ORD-104370,DOCK-PRO,3,135.87,PLN,2026-07-27 07:44:15
ORD-104371,KEYB-FULL,1,121.43,USD,2026-07-27 07:45:51
ORD-104372,PAD-XL,6,384.72,CZK,2026-07-27 07:47:40
ORD-104373,KEYB-FULL,4,447.35,AUD,2026-07-27 07:50:56
ORD-104374,HDST-ANC,6,352.01,GBP,2026-07-27 07:52:36
ORD-104375,MIC-USB,4,374.09,USD,2026-07-27 07:54:11
ORD-104376,MOUSE-ERGO,8,162.30,CHF,2026-07-27 07:58:40
ORD-104377,TRAY-CBL,8,98.11,CZK,2026-07-27 08:01:46
ORD-104378,KEYB-FULL,2,345.81,USD,2026-07-27 08:02:33
ORD-104379,BATT-20K,3,374.23,NOK,2026-07-27 08:07:07
ORD-104380,CHRG-100W,7,123.12,GBP,2026-07-27 08:08:28
ORD-104381,CABLE-5M,6,241.78,NOK,2026-07-27 08:09:33
ORD-104382,PAD-XL,3,131.13,GBP,2026-07-27 08:14:05
ORD-104383,CABLE-5M,6,256.83,SEK,2026-07-27 08:17:08
ORD-104384,KEYB-TKL,4,122.29,NOK,2026-07-27 08:20:32
ORD-104385,HDST-ANC,8,373.52,CZK,2026-07-27 08:24:35
ORD-104386,SSD-1TB,4,56.53,USD,2026-07-27 08:26:51
ORD-104387,KEYB-TKL,3,93.55,JPY,2026-07-27 08:31:29
ORD-104388,ADPT-HDMI,5,271.03,USD,2026-07-27 08:36:09
ORD-104389,STAND-ALU,4,200.57,AUD,2026-07-27 08:40:08
ORD-104390,KEYB-TKL,4,266.73,CAD,2026-07-27 08:41:16
ORD-104391,CAM-4K,4,362.12,PLN,2026-07-27 08:42:42
ORD-104392,ADPT-HDMI,8,353.71,USD,2026-07-27 08:44:53
ORD-104393,ADPT-HDMI,6,313.20,USD,2026-07-27 08:45:44
ORD-104394,ADPT-HDMI,2,106.34,PLN,2026-07-27 08:47:23
ORD-104395,MON-ARM-D,2,50.79,USD,2026-07-27 08:49:38
ORD-104396,HDST-ANC,4,15.92,PLN,2026-07-27 08:53:02
ORD-104397,ENCL-NVME,2,103.77,GBP,2026-07-27 08:57:07
ORD-104398,SSD-1TB,3,191.03,USD,2026-07-27 09:00:26
ORD-104399,CABLE-2M,3,209.58,CAD,2026-07-27 09:03:36
ORD-104400,CHRG-65W,2,98.13,GBP,2026-07-27 09:06:55
ORD-104401,KEYB-FULL,2,151.62,SEK,2026-07-27 09:11:18
ORD-104402,ADPT-ETH,5,196.10,USD,2026-07-27 09:13:30
ORD-104403,ADPT-HDMI,3,398.07,USD,2026-07-27 09:17:40
ORD-104404,CAM-4K,4,106.08,CAD,2026-07-27 09:21:59
ORD-104405,MON-ARM-D,5,253.30,CZK,2026-07-27 09:23:04
ORD-104406,CABLE-5M,4,246.56,SEK,2026-07-27 09:24:53
ORD-104407,BATT-20K,1,114.94,USD,2026-07-27 09:25:42
ORD-104408,HDST-ANC,2,138.01,USD,2026-07-27 09:27:32
ORD-104409,KEYB-TKL,6,50.50,GBP,2026-07-27 09:28:25
ORD-104410,MON-ARM-D,8,71.01,USD,2026-07-27 09:31:50
ORD-104411,PAD-XL,1,157.71,AUD,2026-07-27 09:35:32
ORD-104412,CAM-1080,4,314.37,USD,2026-07-27 09:36:37
ORD-104413,MIC-USB,1,437.32,USD,2026-07-27 09:39:02
ORD-104414,MIC-USB,8,12.35,JPY,2026-07-27 09:42:42
ORD-104415,TRAY-CBL,8,12.06,USD,2026-07-27 09:46:45
ORD-104416,SSD-1TB,6,46.47,CZK,2026-07-27 09:50:48
ORD-104417,STAND-ALU,4,16.00,NOK,2026-07-27 09:52:57
ORD-104418,KEYB-TKL,3,39.73,USD,2026-07-27 09:55:43
ORD-104419,ADPT-ETH,4,238.82,USD,2026-07-27 09:58:39
ORD-104420,KEYB-FULL,2,329.01,USD,2026-07-27 09:59:29
ORD-104421,CABLE-2M,3,43.35,USD,2026-07-27 10:00:34
ORD-104422,PAD-XL,7,98.14,AUD,2026-07-27 10:04:48
ORD-104423,MON-ARM-S,8,245.42,SEK,2026-07-27 10:08:04
ORD-104424,KEYB-FULL,5,144.57,JPY,2026-07-27 10:12:31
ORD-104425,MOUSE-ERGO,6,334.05,CAD,2026-07-27 10:14:48
ORD-104426,MIC-USB,4,438.66,CAD,2026-07-27 10:18:21
ORD-104427,MOUSE-ERGO,6,109.55,GBP,2026-07-27 10:21:28
ORD-104428,HDST-ANC,2,427.06,CHF,2026-07-27 10:24:07
ORD-104429,ADPT-HDMI,2,332.18,CAD,2026-07-27 10:25:30
ORD-104430,ENCL-NVME,4,167.18,USD,2026-07-27 10:28:39
ORD-104431,DOCK-PRO,7,14.59,CZK,2026-07-27 10:30:55
ORD-104432,ADPT-ETH,2,220.57,USD,2026-07-27 10:32:42
ORD-104433,BATT-20K,1,260.84,GBP,2026-07-27 10:37:16
ORD-104434,ADPT-ETH,7,30.19,CAD,2026-07-27 10:38:21
ORD-104435,KEYB-TKL,8,310.33,JPY,2026-07-27 10:41:47
ORD-104436,SSD-2TB,6,107.66,USD,2026-07-27 10:43:39
ORD-104437,TRAY-CBL,6,190.54,GBP,2026-07-27 10:46:10
ORD-104438,CAM-4K,4,196.63,JPY,2026-07-27 10:47:02
ORD-104439,CAM-1080,5,318.30,GBP,2026-07-27 10:48:23
ORD-104440,CABLE-5M,5,124.63,NOK,2026-07-27 10:52:27
ORD-104441,CABLE-2M,8,100.74,USD,2026-07-27 10:53:22
ORD-104442,KEYB-FULL,3,184.30,AUD,2026-07-27 10:57:42
ORD-104443,HUB-USB4,1,21.56,USD,2026-07-27 10:58:35
ORD-104444,DOCK-PRO,7,437.46,GBP,2026-07-27 10:59:33
ORD-104445,LAMP-LED,6,443.47,CZK,2026-07-27 11:01:53
ORD-104446,STAND-ALU,1,143.69,SEK,2026-07-27 11:04:34
ORD-104447,CAM-4K,3,156.96,SEK,2026-07-27 11:07:36
ORD-104448,SSD-2TB,7,392.60,SEK,2026-07-27 11:11:26
ORD-104449,ADPT-ETH,3,52.63,USD,2026-07-27 11:12:46
ORD-104450,CHRG-100W,2,108.48,USD,2026-07-27 11:16:56
ORD-104451,MOUSE-ERGO,1,176.72,AUD,2026-07-27 11:19:03
ORD-104452,STAND-ALU,1,151.81,USD,2026-07-27 11:21:55
ORD-104453,CABLE-5M,8,316.92,CAD,2026-07-27 11:26:30
ORD-104454,TRAY-CBL,3,327.69,PLN,2026-07-27 11:29:23
ORD-104455,CAM-4K,4,405.75,USD,2026-07-27 11:32:04
ORD-104456,ENCL-NVME,7,216.88,CAD,2026-07-27 11:36:41
ORD-104457,CHRG-100W,7,341.03,AUD,2026-07-27 11:38:30
ORD-104458,LAMP-LED,8,338.66,CAD,2026-07-27 11:39:19
ORD-104459,SSD-1TB,5,234.32,CHF,2026-07-27 11:40:58
ORD-104460,TRAY-CBL,7,260.47,AUD,2026-07-27 11:42:02
ORD-104461,MON-ARM-D,8,84.05,CAD,2026-07-27 11:44:20
ORD-104462,MIC-USB,5,230.77,SEK,2026-07-27 11:45:14
ORD-104463,CAM-4K,3,132.44,USD,2026-07-27 11:47:32
ORD-104464,CABLE-5M,4,89.76,CZK,2026-07-27 11:49:46
ORD-104465,LAMP-LED,5,415.08,USD,2026-07-27 11:53:26
ORD-104466,CHRG-65W,1,282.47,CAD,2026-07-27 11:56:53
ORD-104467,STAND-ALU,2,46.85,GBP,2026-07-27 12:01:08
ORD-104468,TRAY-CBL,2,204.63,PLN,2026-07-27 12:04:51
ORD-104469,ENCL-NVME,6,290.08,CAD,2026-07-27 12:09:16
ORD-104470,ADPT-HDMI,7,224.10,USD,2026-07-27 12:11:24
ORD-104471,CAM-4K,1,41.28,GBP,2026-07-27 12:15:10
ORD-104472,ADPT-HDMI,5,22.98,USD,2026-07-27 12:17:47
ORD-104473,HDST-ANC,8,62.49,USD,2026-07-27 12:20:34
ORD-104474,BATT-20K,5,258.88,USD,2026-07-27 12:21:30
ORD-104475,CAM-1080,7,176.89,AUD,2026-07-27 12:23:56
ORD-104476,SSD-1TB,7,214.52,PLN,2026-07-27 12:27:51
ORD-104477,ADPT-HDMI,1,401.41,CAD,2026-07-27 12:31:29
ORD-104478,ADPT-ETH,4,327.15,CHF,2026-07-27 12:32:34
ORD-104479,CAM-1080,4,227.42,USD,2026-07-27 12:34:57
ORD-104480,KEYB-FULL,7,235.65,CHF,2026-07-27 12:37:12
ORD-104481,ENCL-NVME,8,418.74,AUD,2026-07-27 12:39:36
ORD-104482,MIC-USB,5,335.92,USD,2026-07-27 12:41:28
ORD-104483,CHRG-65W,2,106.19,GBP,2026-07-27 12:42:34
ORD-104484,PAD-XL,7,18.35,USD,2026-07-27 12:45:51
ORD-104485,CHRG-65W,2,103.46,GBP,2026-07-27 12:47:49
ORD-104486,CHRG-65W,6,104.29,JPY,2026-07-27 12:52:28
ORD-104487,ADPT-ETH,5,260.67,USD,2026-07-27 12:54:08
ORD-104488,STAND-ALU,7,382.60,GBP,2026-07-27 12:55:22
ORD-104489,SSD-2TB,6,26.45,GBP,2026-07-27 12:59:27
ORD-104490,CABLE-2M,8,207.40,USD,2026-07-27 13:01:20
ORD-104491,MON-ARM-D,4,9.91,USD,2026-07-27 13:03:52
ORD-104492,CHRG-100W,6,410.68,JPY,2026-07-27 13:08:30
ORD-104493,MON-ARM-S,4,336.24,NOK,2026-07-27 13:10:24
ORD-104494,CHRG-65W,3,191.36,GBP,2026-07-27 13:14:15
ORD-104495,CHRG-100W,2,205.73,USD,2026-07-27 13:17:31
ORD-104496,PAD-XL,1,210.28,GBP,2026-07-27 13:19:28
ORD-104497,ADPT-HDMI,6,446.34,GBP,2026-07-27 13:21:33
ORD-104498,TRAY-CBL,6,111.76,USD,2026-07-27 13:24:07
ORD-104499,ADPT-HDMI,7,20.67,CZK,2026-07-27 13:25:17
ORD-104500,STAND-ALU,4,418.34,CHF,2026-07-28 00:00:57
ORD-104501,STAND-ALU,7,106.27,CAD,2026-07-28 00:01:33
ORD-104502,CAM-4K,3,77.47,USD,2026-07-28 00:01:49
ORD-104503,CAM-4K,5,140.28,CHF,2026-07-28 00:02:38
ORD-104504,STAND-ALU,4,225.94,JPY,2026-07-28 00:03:14
ORD-104505,MON-ARM-D,2,421.03,USD,2026-07-28 00:03:29
ORD-104506,CAM-1080,3,389.18,GBP,2026-07-28 00:04:01
ORD-104507,HUB-USB4,5,190.84,USD,2026-07-28 00:04:17
ORD-104508,CAM-1080,6,212.12,AUD,2026-07-28 00:04:49
ORD-104509,CAM-4K,1,291.29,AUD,2026-07-28 00:05:21
ORD-104510,CAM-1080,2,329.92,PLN,2026-07-28 00:06:01
ORD-104511,SSD-1TB,1,399.84,USD,2026-07-28 00:06:40
ORD-104512,MIC-USB,4,56.18,NOK,2026-07-28 00:07:08
ORD-104513,PAD-XL,5,321.81,PLN,2026-07-28 00:07:56
ORD-104514,SSD-1TB,6,328.45,GBP,2026-07-28 00:08:07
ORD-104515,CHRG-100W,3,206.76,CAD,2026-07-28 00:08:22
ORD-104516,ADPT-ETH,5,401.62,GBP,2026-07-28 00:09:09
ORD-104517,KEYB-FULL,2,443.50,CZK,2026-07-28 00:09:31
ORD-104518,ADPT-HDMI,1,8.46,AUD,2026-07-28 00:10:16
ORD-104519,CABLE-2M,1,130.56,USD,2026-07-28 00:10:49
ORD-104520,SSD-1TB,4,65.04,JPY,2026-07-28 00:11:38
ORD-104521,MON-ARM-D,8,140.46,CZK,2026-07-28 00:12:18
ORD-104522,LAMP-LED,4,407.96,GBP,2026-07-28 00:13:08
ORD-104523,MIC-USB,7,442.55,CHF,2026-07-28 00:13:48
ORD-104524,TRAY-CBL,2,153.16,AUD,2026-07-28 00:14:13
ORD-104525,KEYB-TKL,8,93.59,AUD,2026-07-28 00:14:26
ORD-104526,KEYB-TKL,7,331.69,NOK,2026-07-28 00:15:12
ORD-104527,TRAY-CBL,1,391.76,AUD,2026-07-28 00:15:53
ORD-104528,CABLE-5M,1,434.51,GBP,2026-07-28 00:16:25
ORD-104529,MON-ARM-D,7,424.74,SEK,2026-07-28 00:17:15
ORD-104530,CHRG-100W,4,392.90,AUD,2026-07-28 00:17:34
ORD-104531,CABLE-5M,4,187.83,NOK,2026-07-28 00:17:46
ORD-104532,LAMP-LED,7,13.93,CHF,2026-07-28 00:18:34
ORD-104533,CHRG-100W,1,273.60,USD,2026-07-28 00:18:58
ORD-104534,KEYB-TKL,3,15.93,AUD,2026-07-28 00:19:19
ORD-104535,CHRG-65W,1,297.37,USD,2026-07-28 00:20:09
ORD-104536,HUB-USB4,4,320.59,AUD,2026-07-28 00:20:53
ORD-104537,LAMP-LED,8,323.31,AUD,2026-07-28 00:21:40
ORD-104538,ADPT-ETH,3,390.05,USD,2026-07-28 00:22:25
ORD-104539,DOCK-PRO,7,153.00,CAD,2026-07-28 00:22:58
ORD-104540,CAM-4K,3,407.92,AUD,2026-07-28 00:23:18
ORD-104541,ADPT-HDMI,1,123.05,CHF,2026-07-28 00:23:56
ORD-104542,DOCK-PRO,4,196.35,GBP,2026-07-28 00:24:20
ORD-104543,LAMP-LED,2,346.51,GBP,2026-07-28 00:24:36
ORD-104544,MOUSE-ERGO,2,121.84,CHF,2026-07-28 00:25:06
ORD-104545,DOCK-PRO,4,392.69,USD,2026-07-28 00:25:51
ORD-104546,HUB-USB4,6,67.97,USD,2026-07-28 00:26:13
ORD-104547,HUB-USB4,3,207.14,USD,2026-07-28 00:26:25
ORD-104548,MOUSE-ERGO,4,275.44,CHF,2026-07-28 00:26:56
ORD-104549,DOCK-PRO,1,198.35,JPY,2026-07-28 00:27:38
ORD-104550,SSD-1TB,1,46.33,CAD,2026-07-28 00:28:03
ORD-104551,SSD-1TB,7,247.73,CHF,2026-07-28 00:28:20
ORD-104552,STAND-ALU,6,318.11,GBP,2026-07-28 00:28:38
ORD-104553,STAND-ALU,6,371.31,USD,2026-07-28 00:29:08
ORD-104554,SSD-2TB,7,344.41,JPY,2026-07-28 00:29:43
ORD-104555,SSD-2TB,5,165.40,USD,2026-07-28 00:30:23
ORD-104556,HUB-USB4,8,68.92,JPY,2026-07-28 00:31:01
ORD-104557,CHRG-65W,8,393.88,USD,2026-07-28 00:31:32
ORD-104558,MOUSE-ERGO,3,219.72,CAD,2026-07-28 00:32:15
ORD-104559,SSD-2TB,4,147.16,CAD,2026-07-28 00:32:51
ORD-104560,HDST-ANC,6,279.27,USD,2026-07-28 00:33:03
ORD-104561,MIC-USB,2,443.56,CAD,2026-07-28 00:33:14
ORD-104562,CAM-1080,3,269.48,AUD,2026-07-28 00:33:42
ORD-104563,MIC-USB,4,161.04,CAD,2026-07-28 00:34:18
ORD-104564,LAMP-LED,8,163.94,AUD,2026-07-28 00:34:40
ORD-104565,MOUSE-ERGO,3,5.87,USD,2026-07-28 00:35:26
ORD-104566,STAND-ALU,2,139.10,USD,2026-07-28 00:36:11
