currency,valid_from,rate
CHF,2025-01-14,1.041201
SEK,2025-01-14,0.088322
NOK,2025-01-14,0.086124
PLN,2025-01-14,0.234083
CZK,2025-01-14,0.040367
AUD,2025-01-14,0.610506
CAD,2025-01-14,0.684525
USD,2025-01-15,0.923619
GBP,2025-01-15,1.178609
JPY,2025-01-15,0.006160
CHF,2025-01-15,1.039341
SEK,2025-01-15,0.088215
NOK,2025-01-15,0.086279
PLN,2025-01-15,0.233681
CZK,2025-01-15,0.040375
AUD,2025-01-15,0.610266
CAD,2025-01-15,0.686795
USD,2025-01-16,0.925086
GBP,2025-01-16,1.180845
JPY,2025-01-16,0.006161
CHF,2025-01-16,1.042149
SEK,2025-01-16,0.087990
NOK,2025-01-16,0.086047
PLN,2025-01-16,0.233186
CZK,2025-01-16,0.040272
AUD,2025-01-16,0.610865
CAD,2025-01-16,0.687883
USD,2025-01-17,0.925411
GBP,2025-01-17,1.178728
JPY,2025-01-17,0.006144
CHF,2025-01-17,1.044862
SEK,2025-01-17,0.088276
NOK,2025-01-17,0.086309
PLN,2025-01-17,0.232772
CZK,2025-01-17,0.040192
AUD,2025-01-17,0.610012
CAD,2025-01-17,0.688624
USD,2025-01-18,0.924663
GBP,2025-01-18,1.179139
JPY,2025-01-18,0.006143
CHF,2025-01-18,1.044427
SEK,2025-01-18,0.088556
NOK,2025-01-18,0.086260
PLN,2025-01-18,0.232508
CZK,2025-01-18,0.040164
AUD,2025-01-18,0.608259
CAD,2025-01-18,0.687901
USD,2025-01-19,0.926356
GBP,2025-01-19,1.178896
JPY,2025-01-19,0.006149
CHF,2025-01-19,1.046801
SEK,2025-01-19,0.088629
NOK,2025-01-19,0.086371
PLN,2025-01-19,0.232222
CZK,2025-01-19,0.040201
AUD,2025-01-19,0.606868
CAD,2025-01-19,0.687352
USD,2025-01-20,0.926711
GBP,2025-01-20,1.175108
JPY,2025-01-20,0.006168
CHF,2025-01-20,1.048977
SEK,2025-01-20,0.088721
NOK,2025-01-20,0.086581
PLN,2025-01-20,0.231874
CZK,2025-01-20,0.040183
AUD,2025-01-20,0.607252
CAD,2025-01-20,0.689433
USD,2025-01-21,0.927114
GBP,2025-01-21,1.178013
JPY,2025-01-21,0.006149
CHF,2025-01-21,1.050971
SEK,2025-01-21,0.088988
NOK,2025-01-21,0.086837
PLN,2025-01-21,0.232470
CZK,2025-01-21,0.040283
AUD,2025-01-21,0.607896
CAD,2025-01-21,0.688439
USD,2025-01-22,0.924802
GBP,2025-01-22,1.177568
JPY,2025-01-22,0.006170
CHF,2025-01-22,1.053480
SEK,2025-01-22,0.088708
NOK,2025-01-22,0.086541
PLN,2025-01-22,0.232839
CZK,2025-01-22,0.040171
AUD,2025-01-22,0.609736
CAD,2025-01-22,0.689723
USD,2025-01-23,0.925868
GBP,2025-01-23,1.174709
JPY,2025-01-23,0.006166
CHF,2025-01-23,1.052028
SEK,2025-01-23,0.088790
NOK,2025-01-23,0.086293
PLN,2025-01-23,0.232955
CZK,2025-01-23,0.040237
AUD,2025-01-23,0.609924
CAD,2025-01-23,0.690391
USD,2025-01-24,0.924539
GBP,2025-01-24,1.174504
JPY,2025-01-24,0.006147
CHF,2025-01-24,1.049560
SEK,2025-01-24,0.089033
NOK,2025-01-24,0.086340
PLN,2025-01-24,0.233739
CZK,2025-01-24,0.040356
AUD,2025-01-24,0.608324
CAD,2025-01-24,0.690500
USD,2025-01-25,0.921713
GBP,2025-01-25,1.173722
JPY,2025-01-25,0.006138
CHF,2025-01-25,1.050865
SEK,2025-01-25,0.089133
NOK,2025-01-25,0.086480
PLN,2025-01-25,0.234046
CZK,2025-01-25,0.040243
AUD,2025-01-25,0.607250
CAD,2025-01-25,0.689361
USD,2025-01-26,0.920699
GBP,2025-01-26,1.177302
JPY,2025-01-26,0.006117
CHF,2025-01-26,1.051496
SEK,2025-01-26,0.088957
NOK,2025-01-26,0.086534
PLN,2025-01-26,0.233455
CZK,2025-01-26,0.040377
AUD,2025-01-26,0.606151
CAD,2025-01-26,0.688069
USD,2025-01-27,0.918156
GBP,2025-01-27,1.180875
JPY,2025-01-27,0.006098
CHF,2025-01-27,1.050231
SEK,2025-01-27,0.088707
NOK,2025-01-27,0.086251
PLN,2025-01-27,0.233981
CZK,2025-01-27,0.040371
AUD,2025-01-27,0.605718
CAD,2025-01-27,0.686896
USD,2025-01-28,0.918610
GBP,2025-01-28,1.177760
JPY,2025-01-28,0.006102
CHF,2025-01-28,1.051983
SEK,2025-01-28,0.088553
NOK,2025-01-28,0.086292
PLN,2025-01-28,0.233570
CZK,2025-01-28,0.040495
AUD,2025-01-28,0.604073
CAD,2025-01-28,0.688759
USD,2025-01-29,0.917123
GBP,2025-01-29,1.180779
JPY,2025-01-29,0.006123
CHF,2025-01-29,1.049153
SEK,2025-01-29,0.088782
NOK,2025-01-29,0.086533
PLN,2025-01-29,0.234296
CZK,2025-01-29,0.040631
AUD,2025-01-29,0.602006
CAD,2025-01-29,0.689127
USD,2025-01-30,0.919399
GBP,2025-01-30,1.179380
JPY,2025-01-30,0.006127
CHF,2025-01-30,1.048528
SEK,2025-01-30,0.088624
NOK,2025-01-30,0.086258
PLN,2025-01-30,0.234983
CZK,2025-01-30,0.040618
AUD,2025-01-30,0.603231
CAD,2025-01-30,0.687453
USD,2025-01-31,0.919784
GBP,2025-01-31,1.181558
JPY,2025-01-31,0.006126
CHF,2025-01-31,1.049046
SEK,2025-01-31,0.088592
NOK,2025-01-31,0.086047
PLN,2025-01-31,0.234827
CZK,2025-01-31,0.040571
AUD,2025-01-31,0.604612
CAD,2025-01-31,0.686728
USD,2025-02-01,0.917693
GBP,2025-02-01,1.184825
JPY,2025-02-01,0.006133
CHF,2025-02-01,1.048157
SEK,2025-02-01,0.088688
NOK,2025-02-01,0.086158
PLN,2025-02-01,0.234100
CZK,2025-02-01,0.040501
AUD,2025-02-01,0.602813
CAD,2025-02-01,0.685588
USD,2025-02-02,0.919150
GBP,2025-02-02,1.187773
JPY,2025-02-02,0.006152
CHF,2025-02-02,1.045851
SEK,2025-02-02,0.088949
NOK,2025-02-02,0.085903
PLN,2025-02-02,0.234325
CZK,2025-02-02,0.040397
AUD,2025-02-02,0.601340
CAD,2025-02-02,0.685210
USD,2025-02-03,0.922240
GBP,2025-02-03,1.185533
JPY,2025-02-03,0.006132
CHF,2025-02-03,1.043587
SEK,2025-02-03,0.088663
NOK,2025-02-03,0.085898
PLN,2025-02-03,0.233849
CZK,2025-02-03,0.040286
AUD,2025-02-03,0.600883
CAD,2025-02-03,0.686690
USD,2025-02-04,0.921596
GBP,2025-02-04,1.183461
JPY,2025-02-04,0.006127
CHF,2025-02-04,1.045989
SEK,2025-02-04,0.088686
NOK,2025-02-04,0.085734
PLN,2025-02-04,0.233368
CZK,2025-02-04,0.040363
AUD,2025-02-04,0.602931
CAD,2025-02-04,0.687148
USD,2025-02-05,0.921310
GBP,2025-02-05,1.185065
JPY,2025-02-05,0.006124
CHF,2025-02-05,1.047966
SEK,2025-02-05,0.088509
NOK,2025-02-05,0.085859
PLN,2025-02-05,0.232975
CZK,2025-02-05,0.040434
AUD,2025-02-05,0.601342
CAD,2025-02-05,0.686728
USD,2025-02-06,0.918908
GBP,2025-02-06,1.181276
JPY,2025-02-06,0.006140
CHF,2025-02-06,1.047317
SEK,2025-02-06,0.088382
NOK,2025-02-06,0.085773
PLN,2025-02-06,0.233378
CZK,2025-02-06,0.040453
AUD,2025-02-06,0.601763
CAD,2025-02-06,0.685777
USD,2025-02-07,0.921624
GBP,2025-02-07,1.181984
JPY,2025-02-07,0.006136
CHF,2025-02-07,1.045857
SEK,2025-02-07,0.088578
NOK,2025-02-07,0.085870
PLN,2025-02-07,0.233860
CZK,2025-02-07,0.040573
AUD,2025-02-07,0.603428
CAD,2025-02-07,0.683975
USD,2025-02-08,0.920643
GBP,2025-02-08,1.183995
JPY,2025-02-08,0.006151
CHF,2025-02-08,1.045599
SEK,2025-02-08,0.088533
NOK,2025-02-08,0.085974
PLN,2025-02-08,0.234148
CZK,2025-02-08,0.040698
AUD,2025-02-08,0.603265
CAD,2025-02-08,0.686196
USD,2025-02-09,0.917996
GBP,2025-02-09,1.182963
JPY,2025-02-09,0.006138
CHF,2025-02-09,1.042306
SEK,2025-02-09,0.088251
NOK,2025-02-09,0.086222
PLN,2025-02-09,0.234316
CZK,2025-02-09,0.040819
AUD,2025-02-09,0.601829
CAD,2025-02-09,0.686295
USD,2025-02-10,0.919931
GBP,2025-02-10,1.185273
JPY,2025-02-10,0.006145
CHF,2025-02-10,1.039408
SEK,2025-02-10,0.088159
NOK,2025-02-10,0.086056
PLN,2025-02-10,0.233805
CZK,2025-02-10,0.040939
AUD,2025-02-10,0.600013
CAD,2025-02-10,0.687475
USD,2025-02-11,0.921955
GBP,2025-02-11,1.185044
JPY,2025-02-11,0.006157
CHF,2025-02-11,1.041631
SEK,2025-02-11,0.088391
NOK,2025-02-11,0.086080
PLN,2025-02-11,0.233993
CZK,2025-02-11,0.040923
AUD,2025-02-11,0.600197
CAD,2025-02-11,0.687847
USD,2025-02-12,0.920084
GBP,2025-02-12,1.187949
JPY,2025-02-12,0.006177
CHF,2025-02-12,1.038525
SEK,2025-02-12,0.088689
NOK,2025-02-12,0.086054
PLN,2025-02-12,0.233385
CZK,2025-02-12,0.040911
AUD,2025-02-12,0.598254
CAD,2025-02-12,0.686968
USD,2025-02-13,0.918878
GBP,2025-02-13,1.191798
JPY,2025-02-13,0.006197
CHF,2025-02-13,1.039183
SEK,2025-02-13,0.088624
NOK,2025-02-13,0.085872
PLN,2025-02-13,0.233276
CZK,2025-02-13,0.040962
AUD,2025-02-13,0.596487
CAD,2025-02-13,0.687518
USD,2025-02-14,0.916141
GBP,2025-02-14,1.188721
JPY,2025-02-14,0.006198
CHF,2025-02-14,1.040538
SEK,2025-02-14,0.088698
NOK,2025-02-14,0.085809
PLN,2025-02-14,0.233508
CZK,2025-02-14,0.040957
AUD,2025-02-14,0.594805
CAD,2025-02-14,0.685216
USD,2025-02-15,0.918681
GBP,2025-02-15,1.192784
JPY,2025-02-15,0.006189
CHF,2025-02-15,1.040848
SEK,2025-02-15,0.088743
NOK,2025-02-15,0.085751
PLN,2025-02-15,0.233527
CZK,2025-02-15,0.041035
AUD,2025-02-15,0.596085
CAD,2025-02-15,0.684017
USD,2025-02-16,0.921395
GBP,2025-02-16,1.188828
JPY,2025-02-16,0.006202
CHF,2025-02-16,1.041651
SEK,2025-02-16,0.088770
NOK,2025-02-16,0.085990
PLN,2025-02-16,0.232768
CZK,2025-02-16,0.041166
AUD,2025-02-16,0.597147
CAD,2025-02-16,0.683214
USD,2025-02-17,0.920860
GBP,2025-02-17,1.192411
JPY,2025-02-17,0.006207
CHF,2025-02-17,1.041990
SEK,2025-02-17,0.088640
NOK,2025-02-17,0.086169
PLN,2025-02-17,0.232462
CZK,2025-02-17,0.041274
AUD,2025-02-17,0.597094
CAD,2025-02-17,0.680941
USD,2025-02-18,0.923197
GBP,2025-02-18,1.191530
JPY,2025-02-18,0.006216
CHF,2025-02-18,1.044597
SEK,2025-02-18,0.088437
NOK,2025-02-18,0.086057
PLN,2025-02-18,0.233138
CZK,2025-02-18,0.041195
AUD,2025-02-18,0.597011
CAD,2025-02-18,0.679142
USD,2025-02-19,0.921723
GBP,2025-02-19,1.191486
JPY,2025-02-19,0.006204
CHF,2025-02-19,1.043288
SEK,2025-02-19,0.088616
NOK,2025-02-19,0.086031
PLN,2025-02-19,0.233137
CZK,2025-02-19,0.041165
AUD,2025-02-19,0.597439
CAD,2025-02-19,0.678969
USD,2025-02-20,0.920651
GBP,2025-02-20,1.190557
JPY,2025-02-20,0.006202
CHF,2025-02-20,1.042742
SEK,2025-02-20,0.088602
NOK,2025-02-20,0.086318
PLN,2025-02-20,0.232322
CZK,2025-02-20,0.041051
AUD,2025-02-20,0.598077
CAD,2025-02-20,0.677537
USD,2025-02-21,0.917682
GBP,2025-02-21,1.186661
JPY,2025-02-21,0.006200
CHF,2025-02-21,1.039300
SEK,2025-02-21,0.088755
NOK,2025-02-21,0.086050
PLN,2025-02-21,0.233119
CZK,2025-02-21,0.040953
AUD,2025-02-21,0.597982
CAD,2025-02-21,0.675746
USD,2025-02-22,0.917203
GBP,2025-02-22,1.189479
JPY,2025-02-22,0.006204
CHF,2025-02-22,1.042214
SEK,2025-02-22,0.088594
NOK,2025-02-22,0.086247
PLN,2025-02-22,0.233882
CZK,2025-02-22,0.041029
AUD,2025-02-22,0.596276
CAD,2025-02-22,0.675200
USD,2025-02-23,0.920083
GBP,2025-02-23,1.188849
JPY,2025-02-23,0.006219
CHF,2025-02-23,1.038631
SEK,2025-02-23,0.088837
NOK,2025-02-23,0.086248
PLN,2025-02-23,0.234335
CZK,2025-02-23,0.040972
AUD,2025-02-23,0.595087
CAD,2025-02-23,0.673674
USD,2025-02-24,0.921955
GBP,2025-02-24,1.187712
JPY,2025-02-24,0.006217
CHF,2025-02-24,1.036947
SEK,2025-02-24,0.089058
NOK,2025-02-24,0.085955
PLN,2025-02-24,0.235071
CZK,2025-02-24,0.040853
AUD,2025-02-24,0.596555
CAD,2025-02-24,0.671932
USD,2025-02-25,0.920395
GBP,2025-02-25,1.191029
JPY,2025-02-25,0.006197
CHF,2025-02-25,1.034035
SEK,2025-02-25,0.089356
NOK,2025-02-25,0.085807
PLN,2025-02-25,0.234738
CZK,2025-02-25,0.040931
AUD,2025-02-25,0.595129
CAD,2025-02-25,0.669783
USD,2025-02-26,0.922679
GBP,2025-02-26,1.191464
JPY,2025-02-26,0.006180
CHF,2025-02-26,1.031563
SEK,2025-02-26,0.089333
NOK,2025-02-26,0.085984
PLN,2025-02-26,0.235543
CZK,2025-02-26,0.040942
AUD,2025-02-26,0.596277
CAD,2025-02-26,0.671856
USD,2025-02-27,0.923251
GBP,2025-02-27,1.189758
JPY,2025-02-27,0.006171
CHF,2025-02-27,1.032667
SEK,2025-02-27,0.089629
NOK,2025-02-27,0.085942
PLN,2025-02-27,0.235737
CZK,2025-02-27,0.040964
AUD,2025-02-27,0.595572
CAD,2025-02-27,0.674085
USD,2025-02-28,0.921604
GBP,2025-02-28,1.190342
JPY,2025-02-28,0.006178
CHF,2025-02-28,1.029373
SEK,2025-02-28,0.089440
NOK,2025-02-28,0.086242
PLN,2025-02-28,0.236301
CZK,2025-02-28,0.040955
AUD,2025-02-28,0.596368
CAD,2025-02-28,0.674719
USD,2025-03-01,0.922956
GBP,2025-03-01,1.191653
JPY,2025-03-01,0.006176
CHF,2025-03-01,1.031088
SEK,2025-03-01,0.089269
NOK,2025-03-01,0.086056
PLN,2025-03-01,0.236162
CZK,2025-03-01,0.040987
AUD,2025-03-01,0.594664
CAD,2025-03-01,0.673995
USD,2025-03-02,0.921454
GBP,2025-03-02,1.190064
JPY,2025-03-02,0.006176
CHF,2025-03-02,1.028744
SEK,2025-03-02,0.089050
NOK,2025-03-02,0.086189
PLN,2025-03-02,0.236018
CZK,2025-03-02,0.040844
AUD,2025-03-02,0.594671
CAD,2025-03-02,0.673514
USD,2025-03-03,0.919569
GBP,2025-03-03,1.191378
JPY,2025-03-03,0.006191
CHF,2025-03-03,1.031268
SEK,2025-03-03,0.089326
NOK,2025-03-03,0.086442
PLN,2025-03-03,0.235902
CZK,2025-03-03,0.040929
AUD,2025-03-03,0.595124
CAD,2025-03-03,0.672056
USD,2025-03-04,0.919639
GBP,2025-03-04,1.189849
JPY,2025-03-04,0.006192
CHF,2025-03-04,1.028229
SEK,2025-03-04,0.089528
NOK,2025-03-04,0.086346
PLN,2025-03-04,0.236635
CZK,2025-03-04,0.040833
AUD,2025-03-04,0.595685
CAD,2025-03-04,0.671500
USD,2025-03-05,0.922015
GBP,2025-03-05,1.186823
JPY,2025-03-05,0.006202
CHF,2025-03-05,1.025023
SEK,2025-03-05,0.089677
NOK,2025-03-05,0.086153
PLN,2025-03-05,0.235955
CZK,2025-03-05,0.040737
AUD,2025-03-05,0.593890
CAD,2025-03-05,0.672832
USD,2025-03-06,0.924735
GBP,2025-03-06,1.187498
JPY,2025-03-06,0.006212
CHF,2025-03-06,1.025191
SEK,2025-03-06,0.089677
NOK,2025-03-06,0.086013
PLN,2025-03-06,0.235791
CZK,2025-03-06,0.040786
AUD,2025-03-06,0.593693
CAD,2025-03-06,0.671725
USD,2025-03-07,0.925104
GBP,2025-03-07,1.184384
JPY,2025-03-07,0.006199
CHF,2025-03-07,1.025195
SEK,2025-03-07,0.089368
NOK,2025-03-07,0.086193
PLN,2025-03-07,0.235008
CZK,2025-03-07,0.040891
AUD,2025-03-07,0.592828
CAD,2025-03-07,0.672381
USD,2025-03-08,0.923955
GBP,2025-03-08,1.182299
JPY,2025-03-08,0.006220
CHF,2025-03-08,1.024525
SEK,2025-03-08,0.089331
NOK,2025-03-08,0.086240
PLN,2025-03-08,0.234612
CZK,2025-03-08,0.040888
AUD,2025-03-08,0.593926
CAD,2025-03-08,0.674512
USD,2025-03-09,0.921071
GBP,2025-03-09,1.179500
JPY,2025-03-09,0.006233
CHF,2025-03-09,1.021705
SEK,2025-03-09,0.089337
NOK,2025-03-09,0.086035
PLN,2025-03-09,0.234468
CZK,2025-03-09,0.040760
AUD,2025-03-09,0.594859
CAD,2025-03-09,0.672471
USD,2025-03-10,0.918042
GBP,2025-03-10,1.175903
JPY,2025-03-10,0.006232
CHF,2025-03-10,1.025246
SEK,2025-03-10,0.089304
NOK,2025-03-10,0.085753
PLN,2025-03-10,0.234422
CZK,2025-03-10,0.040803
AUD,2025-03-10,0.593821
CAD,2025-03-10,0.671874
USD,2025-03-11,0.920287
GBP,2025-03-11,1.173774
JPY,2025-03-11,0.006230
CHF,2025-03-11,1.022386
SEK,2025-03-11,0.089566
NOK,2025-03-11,0.086013
PLN,2025-03-11,0.234615
CZK,2025-03-11,0.040699
AUD,2025-03-11,0.591812
CAD,2025-03-11,0.671628
USD,2025-03-12,0.920859
GBP,2025-03-12,1.169981
JPY,2025-03-12,0.006214
CHF,2025-03-12,1.022853
SEK,2025-03-12,0.089341
NOK,2025-03-12,0.085922
PLN,2025-03-12,0.234675
CZK,2025-03-12,0.040644
AUD,2025-03-12,0.591055
CAD,2025-03-12,0.671490
USD,2025-03-13,0.920434
GBP,2025-03-13,1.171063
JPY,2025-03-13,0.006221
CHF,2025-03-13,1.024458
SEK,2025-03-13,0.089631
NOK,2025-03-13,0.085630
PLN,2025-03-13,0.234416
CZK,2025-03-13,0.040666
AUD,2025-03-13,0.592212
CAD,2025-03-13,0.670454
USD,2025-03-14,0.920542
GBP,2025-03-14,1.168342
JPY,2025-03-14,0.006228
CHF,2025-03-14,1.021524
SEK,2025-03-14,0.089848
NOK,2025-03-14,0.085373
PLN,2025-03-14,0.234944
CZK,2025-03-14,0.040740
AUD,2025-03-14,0.594251
CAD,2025-03-14,0.670194
USD,2025-03-15,0.921091
GBP,2025-03-15,1.165150
JPY,2025-03-15,0.006250
CHF,2025-03-15,1.018299
SEK,2025-03-15,0.089677
NOK,2025-03-15,0.085502
PLN,2025-03-15,0.235711
CZK,2025-03-15,0.040758
AUD,2025-03-15,0.595097
CAD,2025-03-15,0.668406
USD,2025-03-16,0.922030
GBP,2025-03-16,1.161650
JPY,2025-03-16,0.006236
CHF,2025-03-16,1.016976
SEK,2025-03-16,0.089885
NOK,2025-03-16,0.085548
PLN,2025-03-16,0.236260
CZK,2025-03-16,0.040746
AUD,2025-03-16,0.594796
CAD,2025-03-16,0.667674
USD,2025-03-17,0.924302
GBP,2025-03-17,1.157942
JPY,2025-03-17,0.006229
CHF,2025-03-17,1.016982
SEK,2025-03-17,0.090084
NOK,2025-03-17,0.085543
PLN,2025-03-17,0.237050
CZK,2025-03-17,0.040827
AUD,2025-03-17,0.595470
CAD,2025-03-17,0.668032
USD,2025-03-18,0.921595
GBP,2025-03-18,1.160308
JPY,2025-03-18,0.006240
CHF,2025-03-18,1.017585
SEK,2025-03-18,0.089892
NOK,2025-03-18,0.085591
PLN,2025-03-18,0.237113
CZK,2025-03-18,0.040827
AUD,2025-03-18,0.597136
CAD,2025-03-18,0.667548
USD,2025-03-19,0.924117
GBP,2025-03-19,1.160464
JPY,2025-03-19,0.006238
CHF,2025-03-19,1.014855
SEK,2025-03-19,0.089943
NOK,2025-03-19,0.085602
PLN,2025-03-19,0.237194
CZK,2025-03-19,0.040901
AUD,2025-03-19,0.598360
CAD,2025-03-19,0.669842
USD,2025-03-20,0.920903
GBP,2025-03-20,1.161889
JPY,2025-03-20,0.006229
CHF,2025-03-20,1.013593
SEK,2025-03-20,0.089801
NOK,2025-03-20,0.085642
PLN,2025-03-20,0.237491
CZK,2025-03-20,0.040990
AUD,2025-03-20,0.597114
CAD,2025-03-20,0.671949
USD,2025-03-21,0.923341
GBP,2025-03-21,1.163835
JPY,2025-03-21,0.006225
CHF,2025-03-21,1.015753
SEK,2025-03-21,0.089609
NOK,2025-03-21,0.085476
PLN,2025-03-21,0.237485
CZK,2025-03-21,0.040904
AUD,2025-03-21,0.597749
CAD,2025-03-21,0.672938
USD,2025-03-22,0.922381
GBP,2025-03-22,1.161042
JPY,2025-03-22,0.006241
CHF,2025-03-22,1.014815
SEK,2025-03-22,0.089899
NOK,2025-03-22,0.085446
PLN,2025-03-22,0.237469
CZK,2025-03-22,0.040927
AUD,2025-03-22,0.597749
CAD,2025-03-22,0.670705
USD,2025-03-23,0.923508
GBP,2025-03-23,1.159451
JPY,2025-03-23,0.006234
CHF,2025-03-23,1.014679
SEK,2025-03-23,0.089704
NOK,2025-03-23,0.085515
PLN,2025-03-23,0.237295
CZK,2025-03-23,0.040817
AUD,2025-03-23,0.597115
CAD,2025-03-23,0.668978
USD,2025-03-24,0.924119
GBP,2025-03-24,1.162836
JPY,2025-03-24,0.006223
CHF,2025-03-24,1.012133
SEK,2025-03-24,0.089556
NOK,2025-03-24,0.085642
PLN,2025-03-24,0.236727
CZK,2025-03-24,0.040836
AUD,2025-03-24,0.597498
CAD,2025-03-24,0.668645
USD,2025-03-25,0.923008
GBP,2025-03-25,1.161113
JPY,2025-03-25,0.006206
CHF,2025-03-25,1.012460
SEK,2025-03-25,0.089427
NOK,2025-03-25,0.085628
PLN,2025-03-25,0.235958
CZK,2025-03-25,0.040906
AUD,2025-03-25,0.595513
CAD,2025-03-25,0.668983
USD,2025-03-26,0.923717
GBP,2025-03-26,1.157496
JPY,2025-03-26,0.006193
CHF,2025-03-26,1.010056
SEK,2025-03-26,0.089721
NOK,2025-03-26,0.085730
PLN,2025-03-26,0.235495
CZK,2025-03-26,0.040942
AUD,2025-03-26,0.595807
CAD,2025-03-26,0.670919
USD,2025-03-27,0.926046
GBP,2025-03-27,1.159824
JPY,2025-03-27,0.006179
CHF,2025-03-27,1.010524
SEK,2025-03-27,0.089670
NOK,2025-03-27,0.085650
PLN,2025-03-27,0.235547
CZK,2025-03-27,0.040895
AUD,2025-03-27,0.594749
CAD,2025-03-27,0.671211
USD,2025-03-28,0.927592
GBP,2025-03-28,1.159978
JPY,2025-03-28,0.006158
CHF,2025-03-28,1.007408
SEK,2025-03-28,0.089680
NOK,2025-03-28,0.085370
PLN,2025-03-28,0.234804
CZK,2025-03-28,0.040760
AUD,2025-03-28,0.595032
CAD,2025-03-28,0.673194
USD,2025-03-29,0.928050
GBP,2025-03-29,1.160991
JPY,2025-03-29,0.006139
CHF,2025-03-29,1.009116
SEK,2025-03-29,0.089889
NOK,2025-03-29,0.085281
PLN,2025-03-29,0.234846
CZK,2025-03-29,0.040804
AUD,2025-03-29,0.595170
CAD,2025-03-29,0.671820
USD,2025-03-30,0.928999
GBP,2025-03-30,1.158613
JPY,2025-03-30,0.006148
CHF,2025-03-30,1.005659
SEK,2025-03-30,0.090149
NOK,2025-03-30,0.085101
PLN,2025-03-30,0.235081
CZK,2025-03-30,0.040882
AUD,2025-03-30,0.597157
CAD,2025-03-30,0.669593
USD,2025-03-31,0.926043
GBP,2025-03-31,1.159217
JPY,2025-03-31,0.006138
CHF,2025-03-31,1.008661
SEK,2025-03-31,0.090133
NOK,2025-03-31,0.085390
PLN,2025-03-31,0.235625
CZK,2025-03-31,0.040852
AUD,2025-03-31,0.595257
CAD,2025-03-31,0.669831
USD,2025-04-01,0.924564
GBP,2025-04-01,1.160246
JPY,2025-04-01,0.006137
CHF,2025-04-01,1.012154
SEK,2025-04-01,0.090006
NOK,2025-04-01,0.085634
PLN,2025-04-01,0.236278
CZK,2025-04-01,0.040879
AUD,2025-04-01,0.595705
CAD,2025-04-01,0.669131
USD,2025-04-02,0.927475
GBP,2025-04-02,1.163442
JPY,2025-04-02,0.006146
CHF,2025-04-02,1.011767
SEK,2025-04-02,0.090216
NOK,2025-04-02,0.085614
PLN,2025-04-02,0.235989
CZK,2025-04-02,0.040762
AUD,2025-04-02,0.596660
CAD,2025-04-02,0.669046
USD,2025-04-03,0.927255
GBP,2025-04-03,1.162890
JPY,2025-04-03,0.006157
CHF,2025-04-03,1.013667
SEK,2025-04-03,0.090290
NOK,2025-04-03,0.085891
PLN,2025-04-03,0.236624
CZK,2025-04-03,0.040885
AUD,2025-04-03,0.595837
